# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:ppp'
# Event count (approx.): 1045
#
# Overhead  Command      Source Shared Object   Source Symbol                            Target Symbol                            Basic Block Cycles
# ........  ...........  .....................  .......................................  .......................................  ..................
#
     0.38%  memcached    [kernel.kallsyms]      [k] __intel_pmu_pebs_event               [k] intel_pmu_drain_pebs_nhm             3                 
     0.38%  memcached    [kernel.kallsyms]      [k] intel_pmu_drain_pebs_nhm             [k] intel_pmu_handle_irq                 10                
     0.38%  memcached    [kernel.kallsyms]      [k] intel_pmu_pebs_enable_all            [k] __intel_pmu_enable_all.constprop.23  1                 
     0.38%  memcached    [kernel.kallsyms]      [k] intel_pmu_lbr_enable_all             [k] __intel_pmu_enable_all.constprop.23  15                
     0.38%  memcached    [kernel.kallsyms]      [k] sched_clock                          [k] nmi_handle                           1                 
     0.38%  memcached    [kernel.kallsyms]      [k] perf_event_output_forward            [k] perf_output_end                      1                 
     0.38%  memcached    [kernel.kallsyms]      [k] perf_event_overflow                  [k] __intel_pmu_pebs_event               1                 
     0.38%  memcached    [kernel.kallsyms]      [k] perf_output_end                      [k] perf_event_output_forward            1                 
     0.38%  memcached    [kernel.kallsyms]      [k] perf_output_end                      [k] perf_output_put_handle               1                 
     0.38%  memcached    [kernel.kallsyms]      [k] __indirect_thunk_start               [k] __indirect_thunk_start               1                 
     0.29%  mc-lrumaint  memcached              [.] lru_pull_tail.part.0                 [.] pthread_mutex_lock@plt               7                 
     0.29%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] slabs_available_chunks               43                
     0.29%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             37                
     0.29%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 38                
     0.29%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                37                
     0.29%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 45                
     0.29%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_handle_irq                 [k] native_read_msr                      2                 
     0.29%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_output_copy                     15                
     0.29%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_copy                     [k] memcpy                               6                 
     0.29%  mc-lrumaint  [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     22                
     0.29%  memcached    [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] intel_pmu_pebs_enable_all            6                 
     0.29%  memcached    [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] native_write_msr                     6                 
     0.29%  memcached    [kernel.kallsyms]      [k] intel_pmu_handle_irq                 [k] __intel_pmu_enable_all.constprop.23  6                 
     0.29%  memcached    [kernel.kallsyms]      [k] intel_pmu_pebs_enable_all            [k] native_write_msr                     7                 
     0.29%  memcached    [kernel.kallsyms]      [k] native_read_msr                      [k] intel_pmu_handle_irq                 81                
     0.29%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_lbr_enable_all             -                 
     0.29%  memcached    [kernel.kallsyms]      [k] perf_pmu_sched_task                  [k] perf_ctx_unlock                      1                 
     0.29%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_output_copy                     14                
     0.29%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_output_copy                     4                 
     0.29%  memcached    [kernel.kallsyms]      [k] perf_event_output_forward            [k] __perf_event_overflow                11                
     0.29%  memcached    [kernel.kallsyms]      [k] perf_output_copy                     [k] perf_output_sample                   7                 
     0.29%  memcached    [kernel.kallsyms]      [k] perf_output_copy                     [k] memcpy                               6                 
     0.29%  memcached    [kernel.kallsyms]      [k] find_first_bit                       [k] intel_pmu_handle_irq                 3                 
     0.29%  memcached    [kernel.kallsyms]      [k] __sched_text_start                   [k] schedule                             4                 
     0.29%  memcached    [kernel.kallsyms]      [k] schedule                             [k] schedule_hrtimeout_range_clock       2                 
     0.19%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] slab_automove_run                    3                 
     0.19%  mc-lrumaint  memcached              [.] lru_pull_tail.part.0                 [.] pthread_mutex_lock@plt               8                 
     0.19%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] slabs_available_chunks               21                
     0.19%  mc-lrumaint  memcached              [.] slab_automove_run                    [.] fill_slab_stats_automove             1                 
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             32                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             30                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             24                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 39                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                38                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                36                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                35                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                33                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] slabs_available_chunks               46                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             52                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             38                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             31                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             30                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             29                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             26                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             23                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 46                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 44                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 39                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 27                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                48                
     0.19%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                44                
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] nmi_handle                           [k] sched_clock                          2                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] nmi_handle                           [k] sched_clock                          1                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_lbr_enable_all             -                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] fill_pte                             [k] __set_pte_vaddr                      8                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] fill_pud                             [k] set_pte_vaddr                        8                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] native_set_pte                       1                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] native_flush_tlb_one_user            1                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] fill_pte                             1                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] set_pte_vaddr                        [k] fill_pud                             4                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] set_pte_vaddr                        [k] __set_pte_vaddr                      1                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_overflow                [k] perf_event_overflow                  9                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_event_output_forward            15                
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_output_copy                     4                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_copy                     [k] perf_output_sample                   7                 
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_copy                     [k] memcpy                               11                
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     64                
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     26                
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     25                
     0.19%  memcached    libevent-2.1.so.7.0.1  [.] event_del_nolock_                    [.] 0x00007f8ac562da30                   70                
     0.19%  memcached    libevent-2.1.so.7.0.1  [.] event_del_nolock_                    [.] 0x00007f8ac562f9f6                   106               
     0.19%  memcached    libevent-2.1.so.7.0.1  [.] event_base_loop                      [.] 0x00007f8ac562e6a0                   41                
     0.19%  memcached    libevent-2.1.so.7.0.1  [.] event_base_loop                      [.] 0x00007f8ac56325f0                   76                
     0.19%  memcached    libevent-2.1.so.7.0.1  [.] evutil_gettime_monotonic_            [.] 0x00007f8ac562e71f                   5                 
     0.19%  memcached    libc-2.31.so           [.] clock_gettime                        [.] evutil_gettime_monotonic_            2                 
     0.19%  memcached    libc-2.31.so           [.] epoll_wait                           [.] 0x00007f8ac563ce29                   1                 
     0.19%  memcached    [kernel.kallsyms]      [.] x86_pmu_enable                       [.] perf_pmu_sched_task                  7                 
     0.19%  memcached    [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] intel_tfa_pmu_enable_all             5                 
     0.19%  memcached    [kernel.kallsyms]      [k] intel_pmu_lbr_enable_all             [k] __intel_pmu_enable_all.constprop.23  4                 
     0.19%  memcached    [kernel.kallsyms]      [k] nmi_handle                           [k] sched_clock                          2                 
     0.19%  memcached    [kernel.kallsyms]      [k] nmi_handle                           [k] sched_clock                          1                 
     0.19%  memcached    [kernel.kallsyms]      [k] native_sched_clock                   [k] sched_clock                          31                
     0.19%  memcached    [kernel.kallsyms]      [k] fill_pud                             [k] set_pte_vaddr                        8                 
     0.19%  memcached    [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] native_set_pte                       1                 
     0.19%  memcached    [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] native_flush_tlb_one_user            1                 
     0.19%  memcached    [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] fill_pte                             1                 
     0.19%  memcached    [kernel.kallsyms]      [k] set_pte_vaddr                        [k] fill_pud                             4                 
     0.19%  memcached    [kernel.kallsyms]      [k] set_pte_vaddr                        [k] __set_pte_vaddr                      1                 
     0.19%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_event_output_forward            8                 
     0.19%  memcached    [kernel.kallsyms]      [k] perf_output_put_handle               [k] perf_output_end                      17                
     0.19%  memcached    [kernel.kallsyms]      [.] fput                                 [.] fput_many                            18                
     0.19%  memcached    [kernel.kallsyms]      [.] fput                                 [.] sys_epoll_wait                       1                 
     0.19%  memcached    [kernel.kallsyms]      [k] ep_poll                              [k] _raw_spin_lock_irqsave               98                
     0.19%  memcached    [kernel.kallsyms]      [.] sys_epoll_wait                       [.] do_syscall_64                        2                 
     0.19%  memcached    [kernel.kallsyms]      [.] sys_epoll_wait                       [.] fput                                 97                
     0.19%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     27                
     0.19%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     25                
     0.19%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     24                
     0.10%  mc-lrumaint  memcached              [.] fill_slab_stats_automove             [.] pthread_mutex_lock@plt               421               
     0.10%  mc-lrumaint  memcached              [.] fill_slab_stats_automove             [.] pthread_mutex_lock@plt               66                
     0.10%  mc-lrumaint  memcached              [.] slabs_available_chunks               [.] pthread_mutex_unlock@plt             16                
     0.10%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             80                
     0.10%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             77                
     0.10%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             49                
     0.10%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             34                
     0.10%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             3                 
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_lock@plt               562               
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_lock@plt               174               
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_unlock@plt             9                 
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] slabs_available_chunks               23                
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] slabs_available_chunks               10                
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] bipbuf_peek_all                      12                
     0.10%  mc-lrumaint  memcached              [.] bipbuf_peek_all                      [.] lru_maintainer_thread                253               
     0.10%  mc-lrumaint  memcached              [.] bipbuf_peek_all                      [.] lru_maintainer_thread                196               
     0.10%  mc-lrumaint  memcached              [.] bipbuf_peek_all                      [.] lru_maintainer_thread                145               
     0.10%  mc-lrumaint  memcached              [.] bipbuf_peek_all                      [.] lru_maintainer_thread                76                
     0.10%  mc-lrumaint  memcached              [.] bipbuf_peek_all                      [.] lru_maintainer_thread                70                
     0.10%  mc-lrumaint  memcached              [.] bipbuf_peek_all                      [.] lru_maintainer_thread                24                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_slab_stats_automove             66                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_slab_stats_automove             63                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] slabs_available_chunks               42                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] slabs_available_chunks               30                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             50                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             44                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             43                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             41                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             31                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             28                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 45                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 44                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 42                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 41                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 40                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 37                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                675               
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                377               
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                332               
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                305               
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                101               
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                94                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                80                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                52                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                34                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                25                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_maintainer_thread                24                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] slabs_available_chunks               48                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] slabs_available_chunks               33                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] slabs_available_chunks               30                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             77                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             64                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             58                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             56                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             54                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             49                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             44                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             42                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             37                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 50                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 43                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 25                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_pull_tail.part.0                 23                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                74                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                52                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                47                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                46                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                40                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                30                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                25                
     0.10%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] slab_automove_run                    601               
     0.10%  mc-lrumaint  libc-2.31.so           [.] clock_nanosleep                      [.] __nanosleep                          69                
     0.10%  mc-lrumaint  libc-2.31.so           [.] clock_nanosleep                      [.] 0x00007f8ac547cde0                   1201              
     0.10%  mc-lrumaint  libc-2.31.so           [.] __nanosleep                          [.] usleep                               626               
     0.10%  mc-lrumaint  libc-2.31.so           [.] 0x00007f8ac547ce0f                   [.] clock_nanosleep                      311               
